'My Referrals','Mis Referidos'
'Referrals','Referidos'
'registered','Registrado'
'pending','Pendiente'
'Referral ID','ID Referido'
'Phone','Teléfono'
'E-mail','Correo-e'
'%1 Referrals','%1 Referidos'
'Search referral','Buscar referido'
'Referral deleted','Referido eliminado'
'Could not delete referral.','No se pudo eliminar el referido.'
'Save Referral','Guardar Referido'
'Referral saved successfully.','Referido guardado correctamente.'
'Referral already exists: Unique constraint violation found','El correo introducido ya existe en nuestra base de datos.'
'Thanks for registering at our referral program, from now on, you will receive great opportunities and discounts to apply in our store.','Gracias por registrarte en nuestro progrma de referidos, de ahora en adelante recibirás grandes descuentos y oportunidades para aprovechar en nuestra tienda.'
'Thanks for registering','Gracias por registrarte'
